playerName,seasonStartYear,inflationAdjSalary,MP,FG,FGA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,target
Devin Booker,2017,7987,33,7,17,1,5,5,5,0,3,3,4,0,0,3,3,22,11
Kenneth Faried,2014,7948,23,4,8,0,0,2,3,3,5,8,0,0,0,1,2,11,11
Charles Oakley,1999,7928,30,3,7,0,0,1,1,1,5,7,2,1,0,1,3,7,11
Tim Hardaway,1999,7886,33,5,13,2,6,2,3,0,2,2,6,1,0,2,2,15,11
Kentavious Caldwell-Pope,2016,7848,28,4,9,1,4,1,1,0,2,3,1,1,0,0,1,11,11
Danny Granger,2010,7839,30,5,12,1,4,3,4,1,3,4,1,0,0,1,2,16,11
Maurice Taylor,2001,7811,24,4,9,0,0,1,2,1,3,4,1,0,0,1,3,11,11
Luc Longley,1999,7785,22,3,7,0,0,1,1,1,3,4,1,0,0,1,3,7,11
Derek Anderson,2002,7785,28,3,9,1,3,3,3,0,2,3,3,1,0,1,1,11,11
Tiago Splitter,2013,7783,18,2,5,0,0,1,2,1,3,4,1,0,0,1,1,7,11
Robin Lopez,2013,7747,21,3,6,0,0,1,1,2,2,5,0,0,1,1,1,8,11
Cuttino Mobley,2003,7743,36,5,13,1,3,2,3,0,3,3,2,1,0,2,2,15,11
Kevin Martin,2010,7729,29,5,12,1,4,4,5,0,2,3,1,0,0,1,1,17,11
Eddy Curry,2006,7724,24,4,8,0,0,3,4,1,3,5,0,0,0,2,2,12,11
Donyell Marshall,2002,7704,25,4,9,0,2,1,2,2,4,6,1,0,0,1,2,11,11
Joe Ingles,2016,7689,25,2,6,1,4,0,0,0,2,3,3,1,0,1,1,8,11
Jamal Crawford,2009,7686,28,5,12,1,4,2,3,0,1,2,3,0,0,1,1,14,11
Taj Gibson,2014,7685,24,3,7,0,0,1,2,2,3,6,0,0,1,1,2,9,11
Rod Strickland,1999,7619,29,4,10,0,0,2,4,0,2,3,7,1,0,2,1,12,11
Terrence Ross,2015,7610,23,3,9,1,5,1,1,0,2,2,1,0,0,0,1,10,11
Samuel Dalembert,2008,7603,24,3,6,0,0,1,1,2,5,7,0,0,1,1,2,7,11
David West,2010,7571,27,5,10,0,0,2,3,1,4,6,2,0,0,1,2,13,11
Gary Harris,2016,7556,28,4,9,1,4,1,1,0,2,2,2,1,0,1,1,12,11
Andre Miller,2007,7550,30,4,10,0,0,3,3,1,2,3,6,1,0,2,2,12,11
DeMarre Carroll,2014,7521,23,3,7,1,3,1,2,1,3,4,1,0,0,0,1,8,11
Ben Wallace,2003,7520,29,2,5,0,0,1,2,3,6,9,1,1,1,0,1,5,11
De'Andre Hunter,2019,7497,31,4,10,1,4,1,2,0,3,4,1,0,0,1,2,12,10
Trevor Ariza,2011,7488,29,3,8,1,4,1,2,0,3,4,2,1,0,1,2,10,10
Mike Miller,2008,7477,25,3,8,1,3,1,1,0,3,4,2,0,0,1,1,10,10
Al Harrington,2006,7465,27,4,11,0,2,2,3,1,4,5,1,0,0,1,3,13,10
Tyrus Thomas,2010,7441,19,2,6,0,0,1,2,1,3,4,0,0,1,1,2,7,10
Kelly Olynyk,2016,7425,20,3,7,1,3,1,1,1,3,4,1,0,0,1,2,9,10
Jason Terry,2008,7386,29,4,11,1,4,1,2,0,1,2,3,1,0,1,1,13,10
Mason Plumlee,2016,7384,20,3,5,0,0,1,3,1,4,6,2,0,0,1,2,7,10
Mark Price,1997,7330,24,3,8,1,3,1,2,0,1,2,4,0,0,2,1,10,10
Greg Ostertag,2000,7306,19,1,3,0,0,1,2,2,3,5,0,0,1,0,2,4,10
Derrick McKey,1998,7303,19,1,4,0,0,0,1,1,2,3,1,0,0,0,2,4,10
Julius Randle,2016,7279,28,6,12,0,1,3,4,2,6,9,2,0,0,2,3,16,10
John Henson,2015,7277,19,3,5,0,0,1,1,1,3,5,1,0,1,1,2,7,10
Tayshaun Prince,2008,7269,31,4,9,0,1,1,2,1,3,4,2,0,0,1,1,11,10
Jayson Tatum,2018,7263,32,6,14,1,4,3,3,0,5,6,2,1,0,1,2,17,10
Ben Simmons,2017,7260,33,6,11,0,0,2,4,1,6,8,7,1,0,3,2,16,10
Ian Mahinmi,2013,7216,15,1,3,0,0,1,2,1,2,4,0,0,0,0,2,5,10
Jim McIlvaine,1999,7209,14,1,2,0,0,0,0,1,1,3,0,0,1,0,2,2,10
Nick Anderson,1999,7187,28,4,10,1,5,1,1,1,3,4,1,1,0,1,1,11,10
Troy Murphy,2006,7187,26,3,8,0,2,2,2,1,5,7,1,0,0,1,2,10,10
Otis Thorpe,1998,7173,24,3,7,0,0,1,2,1,3,5,1,0,0,1,3,8,10
Chris Dudley,1999,7159,14,0,2,0,0,0,1,1,2,4,0,0,0,0,2,2,10
Boris Diaw,2009,7133,26,3,7,0,1,1,1,1,3,4,3,0,0,1,2,8,10
Caron Butler,2009,7100,31,5,11,0,2,2,3,1,3,5,2,1,0,1,2,13,10
Charles Barkley,1997,7083,34,5,11,0,1,4,6,3,8,12,3,1,0,2,2,16,10
Courtney Lee,2013,7050,26,3,8,1,2,1,1,0,2,2,1,0,0,0,1,9,10
Dwight Powell,2016,7039,18,2,5,0,0,1,2,1,3,4,0,0,0,0,2,7,10
Marcus Smart,2016,7011,28,3,8,1,4,1,2,0,2,3,4,1,0,1,2,9,10
Meyers Leonard,2015,7001,15,2,4,0,1,0,0,0,3,3,0,0,0,0,2,5,10
Jerry Stackhouse,2004,6995,30,5,13,1,3,4,5,0,2,3,3,0,0,2,1,16,10
Wilson Chandler,2013,6969,29,4,10,1,3,1,2,1,4,5,1,0,0,1,2,12,10
Clint Capela,2016,6961,24,5,7,0,0,1,3,3,6,9,0,0,1,1,2,11,10
Kirk Hinrich,2009,6936,30,3,9,1,3,1,2,0,2,2,4,1,0,1,2,10,10
Alan Henderson,2001,6928,20,3,6,0,0,1,2,2,2,4,0,0,0,1,2,7,10
Kelvin Cato,2001,6928,18,2,4,0,0,1,2,1,3,5,0,0,1,0,2,5,10
Adonal Foyle,2003,6871,17,1,3,0,0,0,0,1,2,4,0,0,1,0,2,4,10
Loy Vaught,1999,6846,19,3,7,0,0,0,1,1,4,5,0,0,0,0,2,7,10
Chris Mills,1999,6840,27,3,9,0,2,1,2,1,3,4,1,0,0,1,2,10,10
Danny Green,2014,6807,24,3,7,1,4,0,0,0,2,3,1,1,0,0,1,8,10
Rony Seikaly,1997,6791,30,5,10,0,0,4,5,2,4,7,1,0,1,2,3,14,10
Darius Garland,2019,6789,30,4,11,1,5,1,1,0,1,1,3,0,0,2,1,12,10
Wesley Person,2000,6789,27,4,9,1,3,0,1,0,2,3,1,0,0,0,1,11,10
Jeff Green,2013,6788,28,4,10,1,3,2,3,0,3,4,1,0,0,1,2,12,10
Austin Croshere,2002,6784,16,2,5,0,1,1,1,1,2,3,0,0,0,0,1,6,10
Anthony Mason,2000,6782,38,4,9,0,0,3,4,1,7,8,4,0,0,1,2,12,10
Miles Plumlee,2015,6773,15,2,4,0,0,0,1,1,2,4,0,0,0,0,1,4,10
Drew Gooden,2008,6761,24,4,9,0,0,2,2,2,4,7,1,0,0,1,2,10,10
Stromile Swift,2004,6725,19,3,6,0,0,2,3,1,3,4,0,0,1,1,2,8,10
Kenny Thomas,2004,6720,27,3,7,0,0,1,2,2,4,6,1,0,0,1,2,9,10
Austin Rivers,2015,6712,23,3,8,1,3,1,1,0,1,2,2,0,0,1,2,9,10
Iman Shumpert,2014,6696,24,2,6,1,3,0,1,0,2,3,1,1,0,1,2,7,10
Mike Dunleavy,2009,6684,27,3,8,1,3,1,2,0,3,4,2,0,0,1,1,11,10
Dante Exum,2016,6668,17,2,5,0,2,0,1,0,1,1,2,0,0,1,1,5,10
Alec Burks,2015,6659,21,3,8,0,2,2,3,0,2,3,1,0,0,1,1,10,10
Amir Johnson,2011,6633,20,2,5,0,0,0,1,1,3,5,1,0,0,1,2,6,10
Shandon Anderson,2001,6611,21,2,5,0,1,1,1,0,2,3,1,0,0,1,1,7,10
Kwame Brown,2007,6604,21,2,5,0,0,1,2,1,3,5,0,0,0,1,2,6,10
Clifford Robinson,2001,6557,31,4,11,1,3,2,2,1,2,3,2,0,0,1,2,12,10
Josh Jackson,2018,6549,23,4,10,0,2,1,3,0,3,4,1,0,0,1,2,11,10
Robert Covington,2016,6540,29,4,10,2,6,1,2,0,4,5,1,1,0,1,3,12,10
Chris Gatling,1998,6521,20,4,8,0,0,2,3,1,3,5,0,0,0,1,2,10,10
Brandon Ingram,2017,6497,31,5,12,1,3,3,4,0,4,5,3,0,0,2,2,16,10
Doug Christie,2001,6488,34,4,9,1,3,2,3,0,3,4,3,2,0,2,2,11,10
Arron Afflalo,2012,6444,26,3,8,1,2,1,2,0,2,2,1,0,0,1,1,10,10
Matthew Dellavedova,2016,6438,19,1,5,0,2,0,0,0,1,1,3,0,0,1,1,5,10
Mookie Blaylock,1998,6435,34,4,12,1,4,1,1,1,3,4,6,2,0,2,1,12,10
A.C. Green,1998,6382,23,2,5,0,0,1,1,2,3,6,0,0,0,0,1,5,10
Jeff Hornacek,1997,6381,29,4,9,0,1,3,3,0,2,3,3,1,0,1,2,13,10
Bryant Stith,1999,6364,24,2,6,0,2,2,2,0,2,2,1,0,0,1,1,8,10
Jahidi White,2001,6363,17,2,4,0,0,1,2,2,3,5,0,0,1,1,2,5,10
Michael Olowokandi,2002,6331,25,3,8,0,0,1,1,1,4,6,0,0,1,1,3,8,10
Malcolm Brogdon,2017,6330,28,5,10,1,3,2,2,0,3,3,4,0,0,1,1,13,10
Sam Cassell,2002,6320,31,6,13,0,1,3,4,0,2,3,6,1,0,2,2,16,10
Lorenzen Wright,2002,6315,23,3,7,0,0,1,2,2,4,6,0,0,0,1,2,7,10
Stephen Jackson,2006,6306,31,5,12,1,4,2,3,0,3,3,3,1,0,2,2,15,10
Lionel Simmons,1997,6300,12,1,3,0,0,1,1,0,1,2,1,0,0,0,1,3,10
Dion Waiters,2015,6276,27,4,11,1,3,1,2,0,2,2,2,0,0,1,1,12,10
Josh Childress,2009,6257,26,3,6,0,0,1,2,1,2,4,1,0,0,1,1,9,10
Avery Bradley,2014,6254,28,4,10,1,3,1,1,0,2,2,1,1,0,1,2,11,10
Jameer Nelson,2010,6238,27,4,10,1,3,1,1,0,2,2,5,0,0,2,2,11,10
Danny Fortson,2001,6220,19,2,5,0,0,2,3,2,4,7,0,0,0,1,3,8,10
Trae Young,2018,6218,32,7,17,2,7,5,6,0,3,3,8,0,0,4,1,23,10
Robert Horry,2001,6213,21,2,4,0,1,1,1,1,3,4,1,0,0,0,2,5,10
Brendan Haywood,2007,6201,22,2,4,0,0,1,2,2,3,5,0,0,1,1,2,6,10
Devin Harris,2011,6197,23,3,8,0,2,2,3,0,1,2,3,0,0,1,2,10,10
Jarrett Culver,2019,6166,23,3,9,1,3,0,1,1,2,3,1,0,0,1,1,9,10
Terry Rozier,2017,6164,22,3,8,1,4,1,1,0,3,3,2,0,0,1,1,9,10
Jerome Williams,2001,6157,21,2,4,0,0,1,2,2,3,6,0,1,0,0,2,6,10
James Johnson,2014,6139,19,3,6,0,1,1,1,0,2,3,2,0,0,1,2,7,10
Myles Turner,2017,6135,28,4,9,0,2,2,2,1,5,6,1,0,2,1,2,12,10
Metta World Peace,2007,6131,31,4,11,1,3,2,3,1,3,4,2,1,0,1,2,13,10
Jerome James,2004,6105,13,1,3,0,0,0,1,1,2,3,0,0,1,1,2,4,10
Kris Humphries,2010,6102,17,2,5,0,0,1,2,1,3,5,0,0,0,0,1,6,10
Aaron McKie,2001,6063,24,2,6,0,1,1,1,0,2,3,2,1,0,1,1,7,10
Eddie Robinson,2002,6061,18,3,6,0,0,0,1,0,1,2,0,0,0,0,1,6,10
Jason Williams,2004,6053,28,3,9,1,4,1,1,0,2,2,5,1,0,2,1,10,10
Alvin Williams,2002,6045,27,3,8,0,1,1,1,0,1,2,4,1,0,1,1,9,10
Hersey Hawkins,1998,6038,27,3,7,1,3,2,2,0,2,3,2,1,0,1,1,9,10
Wayman Tisdale,1996,6025,13,2,6,0,0,0,0,0,1,2,0,0,0,0,2,6,10
Tony Snell,2016,6021,21,2,5,1,3,0,0,0,1,2,1,0,0,0,1,6,10
Bobby Hurley,1997,6019,13,1,3,0,0,0,1,0,0,0,2,0,0,1,1,3,10
Lamond Murray,2000,6017,23,4,9,0,1,2,2,1,2,4,1,0,0,1,1,11,10
Ron Mercer,2001,6008,30,5,13,0,0,1,2,0,2,3,2,1,0,1,2,13,10
Bobby Simmons,2006,6003,24,3,7,0,2,1,1,1,2,3,1,0,0,1,2,8,10
Sharone Wright,1997,5991,15,2,6,0,0,1,2,1,1,2,0,0,0,1,2,6,9
Ron Harper,1998,5984,25,2,6,0,1,1,1,1,2,3,2,1,0,1,2,7,9
Clarence Weatherspoon,2000,5983,25,3,6,0,0,2,2,2,4,6,1,0,0,1,2,8,9
Avery Johnson,2000,5980,26,3,7,0,0,1,1,0,1,1,5,0,0,1,1,8,9
JaVale McGee,2013,5967,16,3,5,0,0,1,1,1,3,5,0,0,1,0,2,7,9
Bobby Phills,1998,5961,32,4,10,1,2,1,2,0,2,3,3,1,0,1,2,12,9
Chris Mullin,1998,5952,24,3,7,1,2,1,1,0,2,2,2,1,0,1,1,10,9
De'Aaron Fox,2018,5930,29,5,13,0,2,3,4,0,2,3,6,1,0,2,2,16,9
Mark Blount,2004,5926,22,3,6,0,0,1,1,1,3,4,0,0,0,1,2,8,9
Quentin Richardson,2006,5915,26,3,9,1,4,1,1,1,3,4,1,0,0,1,1,10,9
Channing Frye,2011,5879,21,3,7,1,3,0,1,0,3,4,0,0,0,0,2,8,9
Al-Farouq Aminu,2014,5868,24,2,6,0,2,1,1,1,4,6,1,0,0,1,1,7,9
James Posey,2005,5857,26,2,6,1,3,1,1,0,3,4,1,1,0,1,2,8,9
Todd MacCulloch,2002,5857,14,2,4,0,0,0,1,1,2,3,0,0,0,0,2,5,9
Tyler Johnson,2016,5837,24,3,8,1,3,1,2,0,2,3,2,0,0,1,1,10,9
Jaylen Brown,2017,5837,26,4,10,1,3,1,2,0,3,4,1,0,0,1,2,13,9
Cory Joseph,2015,5814,20,2,5,0,1,0,1,0,1,2,2,0,0,0,1,6,9
Isaac Austin,1998,5775,22,3,7,0,0,1,2,1,3,5,1,0,0,1,2,8,9
Carl Landry,2011,5761,21,4,7,0,0,2,3,1,2,4,0,0,0,1,2,10,9
Bonzi Wells,2002,5755,24,4,10,0,1,2,3,1,3,4,2,1,0,2,2,11,9
Charlie Villanueva,2010,5751,20,4,9,1,3,1,1,1,3,4,0,0,0,0,2,10,9
Jason Caffey,2000,5749,19,2,5,0,0,1,2,1,2,4,0,0,0,1,2,7,9
Rodney Stuckey,2011,5731,26,4,10,0,1,3,3,0,2,2,3,0,0,1,2,12,9
Tariq Abdul-Wahad,2001,5691,19,2,7,0,0,1,2,1,2,3,1,0,0,1,2,7,9
Shane Battier,2007,5690,29,2,6,1,3,1,1,1,2,4,1,0,0,0,2,8,9
Joe Smith,2003,5675,24,3,8,0,0,2,2,2,3,6,0,0,0,1,2,10,9
Luis Scola,2011,5656,24,4,9,0,0,1,2,1,4,6,1,0,0,1,2,11,9
Mo Bamba,2018,5647,14,2,4,0,1,0,1,1,3,4,0,0,1,0,2,5,9
Jeremy Lamb,2015,5644,20,3,8,1,2,1,1,0,3,3,1,0,0,0,1,10,9
Ken Norman,1997,5638,12,1,5,0,2,0,0,0,1,2,0,0,0,1,1,3,9
Jonathan Bender,2002,5636,13,1,4,0,1,1,1,0,1,2,0,0,0,0,1,5,9
Corliss Williamson,2001,5634,22,4,8,0,0,2,3,1,2,3,1,0,0,1,2,11,9
Coby White,2019,5629,25,4,12,2,5,1,1,0,3,3,2,0,0,1,1,13,9
Ty Lawson,2013,5588,28,4,9,0,2,2,3,0,2,2,5,1,0,2,1,12,9
Eric Snow,2002,5577,27,2,6,0,0,1,2,0,2,2,5,1,0,1,2,7,9
Bob Sura,2001,5569,24,3,7,0,2,2,3,0,2,3,3,1,0,1,2,8,9
Vitaly Potapenko,2001,5564,18,2,5,0,0,1,1,1,2,4,0,0,0,1,2,6,9
Kyle Korver,2011,5559,24,3,7,1,4,1,1,0,2,2,1,0,0,1,2,9,9
Andre Roberson,2016,5557,22,1,4,0,1,0,0,1,2,4,0,0,0,0,2,4,9
Calvin Booth,2003,5556,11,1,2,0,0,0,0,0,1,2,0,0,0,0,1,3,9
Matt Harpring,2003,5546,25,4,8,0,0,2,3,1,3,4,1,0,0,1,2,11,9
