playerName,inflationAdjSalary
Patrick Mills,5339
Dino Radja,5332
Fred VanVleet,5328
Chris Childs,5293
John Williams,5283
Isaiah Rider,5264
Justise Winslow,5251
Dana Barros,5247
PJ Tucker,5230
Jared Dudley,5230
Andray Blatche,5229
Robert Pack,5221
Jorge Garbajosa,5212
Marcus Thornton,5190
Brandon Jennings,5183
Armen Gilliam,5176
Desmond Mason,5168
Glen Davis,5158
Jaxson Hayes,5157
Wendell Carter,5155
Jeff Foster,5154
Jae Crowder,5150
Derrick Williams,5136
Tomas Satoransky,5136
Josh Howard,5135
Scot Pollard,5132
Will Barton,5105
Charlie Ward,5090
Greg Oden,5080
Marc Jackson,5080
Morris Peterson,5063
Jerryd Bayless,5063
Howard Eisley,5062
DeSagana Diop,5044
Travis Outlaw,5041
Ricky Davis,5005
Larry Sanders,4994
Speedy Claxton,4994
Nick Collison,4990
Langston Galloway,4980
Raymond Felton,4966
Jon Leuer,4952
Trevor Booker,4951
Kendrick Perkins,4939
Kosta Koufos,4936
Lauri Markkanen,4917
Zeljko Rebraca,4913
Rick Fox,4909
Nazr Mohammed,4899
Darren Collison,4894
Derek Fisher,4894
Dewayne Dedmon,4880
Bo Outlaw,4847
Norman Powell,4837
Marquis Daniels,4832
Walt Williams,4828
Gerald Henderson,4819
Doug West,4815
Michael Stewart,4812
Martell Webster,4811
Josh Richardson,4809
Jared Jeffries,4796
Kris Dunn,4769
E'Twaun Moore,4746
Detlef Schrempf,4744
Rui Hachimura,4740
Luke Ridnour,4740
Anthony Bennett,4729
Collin Sexton,4723
Vladimir Radmanovic,4712
Dan Majerle,4688
DJ Augustin,4683
Ervin Johnson,4680
Bobby Portis,4679
Jordan Hill,4679
Billy Owens,4669
Harvey Grant,4668
Micheal Williams,4651
Landry Fields,4639
Chris Wilcox,4637
Patrick Beverley,4631
Spencer Hawes,4616
Udonis Haslem,4608
Shaun Livingston,4596
Will Perdue,4593
Zaza Pachulia,4585
Doug McDermott,4574
Patrick Patterson,4544
Joel Przybilla,4541
Alex Len,4534
Jamaal Magloire,4513
Corey Brewer,4511
Frank Ntilikina,4504
Cam Reddish,4503
Ed Davis,4463
Lance Stephenson,4458
Mickael Pietrus,4431
Travis Knight,4429
Scott Williams,4418
Mario Hezonja,4408
Brent Price,4406
Chucky Atkins,4405
Isaiah Thomas,4397
Jarrett Jack,4395
Michael Beasley,4394
Adam Keefe,4388
Gordan Giricek,4380
Nicolo Melli,4351
Cedric Ceballos,4350
Brevin Knight,4348
Michael Dickerson,4345
Brian Cardinal,4344
Kevin Knox,4341
Sarunas Marciulionis,4334
Buddy Hield,4332
Marco Belinelli,4312
Aron Baynes,4309
Jay Williams,4307
Jamaal Tinsley,4286
Bobby Jackson,4286
Earl Watson,4281
Cameron Johnson,4278
Marcus Banks,4261
JaMychal Green,4260
Davis Bertans,4260
Brandan Wright,4253
Luke Walton,4242
Brian Shaw,4225
Darrell Arthur,4206
Kyle Anderson,4203
Beno Udrih,4198
CJ Miles,4196
Chris Duhon,4195
Wesley Johnson,4162
LaPhonso Ellis,4159
Greg Minor,4159
Eduardo Najera,4146
Dennis Smith,4140
Nate McMillan,4140
Derek Strong,4133
Matt Carroll,4126
Mikal Bridges,4124
Darius Songaila,4112
Sherman Douglas,4110
Ben McLemore,4105
Trenton Hassell,4101
Mahmoud Abdul-Rauf,4075
Jonas Jerebko,4073
PJ Washington,4064
Stanley Roberts,4053
Larry Nance Jr,4051
Rodney Rogers,4051
Hasheem Thabeet,4041
Jason Kapono,4033
Moochie Norris,4031
David Wesley,4024
Sam Perkins,4022
Elfrid Payton,3991
Wayne Ellington,3984
Chris Mihm,3979
Bryon Russell,3967
Voshon Lenard,3961
Jamal Murray,3957
Grant Long,3950
Raja Bell,3949
Jerami Grant,3944
Jonny Flynn,3943
Dragan Tarlac,3939
Thabo Sefolosha,3937
Brandon Bass,3937
Zach Collins,3933
Jahlil Okafor,3930
Leandro Barbosa,3930
JJ Hickson,3926
Shai Gilgeous-Alexander,3916
Jan Vesely,3897
Ramon Sessions,3890
Daniel Gibson,3881
BJ Armstrong,3871
Willie Cauley-Stein,3870
Keon Clark,3869
Tyler Herro,3861
Marcus Fizer,3851
Pooh Richardson,3844
Nick Young,3837
Tracy Murray,3836
Dee Brown,3825
Francisco Garcia,3820
Michael Smith,3787
Charles Smith,3783
Jason Thompson,3777
Chris Andersen,3773
Randy Foye,3761
Jonathon Simmons,3760
Nenad Krstic,3758
Dragan Bender,3751
Greivis Vasquez,3750
Malik Monk,3737
Jaren Jackson Jr,3721
Miles Bridges,3720
Jim Jackson,3710
Greg Buckner,3706
Devean George,3702
Troy Hudson,3700
Rex Chapman,3698
Chris Morris,3695
Chuck Hayes,3683
Romeo Langford,3668
Calbert Cheaney,3656
Tyrone Nesby,3652
Fabricio Oberto,3651
Joe Harris,3647
Allonzo Trier,3646
Andrew Lang,3641
Don MacLean,3640
Mike James,3636
Ekpe Udoh,3635
Frank Kaminsky,3635
Stacey Augmon,3631
Jose Juan Barea,3628
Thomas Bryant,3625
Maxi Kleber,3625
Stanley Johnson,3622
Delon Wright,3621
Garrett Temple,3612
George Lynch,3611
Alexey Shved,3595
Josh McRoberts,3595
Tyus Jones,3593
Olden Polynice,3591
Linas Kleiza,3580
Evan Eschmeyer,3573
Lawrence Funderburke,3558
Nerlens Noel,3555
Luke Kennard,3550
Jason Smith,3549
Jerome Robinson,3536
Jodie Meeks,3532
Jason Collins,3530
Anthony Peeler,3524
Jason Maxiell,3513
Steve Blake,3508
Ron Baker,3492
Joel Freeland,3486
Sekou Doumbouya,3484
Emmanuel Mudiay,3481
Duane Causwell,3478
Tony Allen,3474
Elmore Spencer,3474
Dell Curry,3472
Trey Lyles,3471
Darrell Armstrong,3467
Dean Garrett,3447
Carl Herrera,3447
Anthony Parker,3422
Rafer Alston,3417
Lance Thomas,3411
Cole Aldrich,3396
Marquese Chriss,3394
Chuck Person,3383
Vinny Del Negro,3374
Donovan Mitchell,3372
Michael Porter,3357
Montrezl Harrell,3356
Eric Montross,3350
Steven Hunter,3349
Dennis Scott,3343
Pervis Ellison,3339
Jakob Poeltl,3335
Kevin Edwards,3334
Lindsey Hunter,3332
Ishmael Smith,3327
Matt Maloney,3320
Mindaugas Kuzminskas,3312
Hakim Warrick,3305
