playerName,MP,FG,FGA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Rashard Lewis,31,5,11,1,4,2,2,1,3,5,1,1,0,1,2,14
Stephen Jackson,31,5,12,1,4,2,3,0,3,3,3,1,0,2,2,15
Lonzo Ball,31,4,10,1,5,0,1,1,4,6,6,1,0,2,2,10
Brandon Ingram,31,5,12,1,3,3,4,0,4,5,3,0,0,2,2,16
Horace Grant,31,3,8,0,0,1,1,2,4,7,1,0,0,0,2,8
De'Andre Hunter,31,4,10,1,4,1,2,0,3,4,1,0,0,1,2,12
Kawhi Leonard,31,6,13,1,3,3,4,1,5,6,2,1,0,1,1,19
Nick Van Exel,31,5,12,1,4,2,2,0,2,2,6,0,0,2,1,13
Kyle Lowry,31,4,11,1,5,3,4,0,3,4,6,1,0,2,2,14
Chauncey Billups,31,4,11,1,4,4,4,0,2,2,5,1,0,2,2,15
DeMarcus Cousins,31,7,16,0,1,5,7,2,8,10,3,1,1,3,3,21
Sam Cassell,31,6,13,0,1,3,4,0,2,3,6,1,0,2,2,16
Mitch Richmond,31,6,14,1,3,4,4,0,2,3,2,1,0,2,2,18
Jalen Rose,31,5,12,0,2,3,3,0,3,3,3,0,0,2,2,15
Michael Redd,31,6,14,1,4,4,4,1,2,3,2,0,0,1,1,19
Rajon Rondo,31,4,9,0,1,1,2,1,3,4,8,1,0,2,2,10
Sasha Danilović,31,4,10,1,4,2,2,0,1,2,1,0,0,2,2,12
Kevin Love,31,5,13,1,4,4,5,2,8,11,2,0,0,1,2,17
Collin Sexton,31,7,15,1,3,2,3,0,2,2,2,0,0,2,2,18
Caron Butler,31,5,11,0,2,2,3,1,3,5,2,1,0,1,2,13
Tayshaun Prince,31,4,9,0,1,1,2,1,3,4,2,0,0,1,1,11
Clifford Robinson,31,4,11,1,3,2,2,1,2,3,2,0,0,1,2,12
Josh Smith,31,5,12,0,1,2,4,1,5,7,3,1,1,2,2,14
Carlos Boozer,31,6,13,0,0,2,3,2,7,9,2,0,0,2,3,16
Metta World Peace,31,4,11,1,3,2,3,1,3,4,2,1,0,1,2,13
Kirk Hinrich,30,3,9,1,3,1,2,0,2,2,4,1,0,1,2,10
Kenyon Martin,30,5,10,0,0,2,3,1,5,6,1,1,1,1,3,12
CJ McCollum,30,7,15,2,5,2,2,0,2,3,3,0,0,1,2,18
Charles Oakley,30,3,7,0,0,1,1,1,5,7,2,1,0,1,3,7
Tobias Harris,30,6,12,1,3,2,3,1,5,6,2,0,0,1,2,15
Larry Hughes,30,5,12,0,2,3,4,1,3,4,3,1,0,2,2,13
Gordon Hayward,30,5,11,1,3,3,4,0,3,4,3,0,0,1,1,15
Shai Gilgeous-Alexander,30,5,11,0,2,2,3,0,3,4,3,1,0,1,1,14
Emeka Okafor,30,4,9,0,0,2,3,3,6,9,0,0,1,1,2,11
Harrison Barnes,30,4,11,1,3,2,2,1,3,4,1,0,0,1,1,13
Kristaps Porziņģis,30,6,15,1,4,3,4,1,5,7,1,0,2,1,3,18
Kevin Johnson,30,4,9,0,1,4,5,0,2,3,6,1,0,2,1,14
Lauri Markkanen,30,5,13,2,6,2,3,1,6,7,1,0,0,1,1,16
Hakeem Olajuwon,30,6,12,0,0,2,4,2,6,8,2,1,1,2,2,15
Brook Lopez,30,6,13,0,2,3,4,2,4,6,1,0,1,1,2,16
Andre Miller,30,4,10,0,0,3,3,1,2,3,6,1,0,2,2,12
Amar'e Stoudemire,30,6,13,0,0,4,6,2,5,7,1,0,1,2,3,18
Josh Howard,30,5,12,0,2,2,3,1,4,5,1,1,0,1,2,14
Ja Morant,30,6,14,0,2,3,4,0,3,3,7,0,0,3,1,18
Tyreke Evans,30,5,13,0,2,3,4,0,3,4,4,1,0,2,2,15
Tyrone Hill,30,3,7,0,0,2,3,3,5,8,0,0,0,1,3,9
Andre Drummond,30,6,11,0,0,2,4,4,9,13,1,1,1,1,3,14
Zach LaVine,30,6,14,1,4,3,3,0,3,3,3,0,0,2,2,17
John Stockton,30,4,8,0,1,2,3,0,2,2,8,1,0,2,2,12
Desmond Mason,30,4,10,0,0,2,3,1,3,4,1,0,0,1,2,12
Joel Embiid,30,7,16,1,3,6,8,2,9,11,3,0,1,3,3,23
Nicolas Batum,30,4,9,1,4,1,2,1,4,5,3,0,0,1,1,11
Derrick Coleman,30,4,11,0,1,3,4,2,6,8,2,0,1,2,2,13
Wally Szczerbiak,30,5,10,0,2,2,2,1,2,3,2,0,0,1,2,13
Jim Jackson,30,4,10,1,2,1,2,1,3,4,2,0,0,2,2,11
Jerry Stackhouse,30,5,13,1,3,4,5,0,2,3,3,0,0,2,1,16
Darius Garland,30,4,11,1,5,1,1,0,1,1,3,0,0,2,1,12
P.J. Brown,30,3,7,0,0,1,2,2,5,7,1,0,0,1,2,9
Danilo Gallinari,30,4,11,1,5,4,5,0,4,4,2,0,0,1,1,16
Danny Granger,30,5,12,1,4,3,4,1,3,4,1,0,0,1,2,16
Zach Randolph,30,6,14,0,0,3,4,2,6,9,1,0,0,2,2,16
Deandre Ayton,30,7,13,0,0,1,2,3,7,10,1,0,1,1,2,16
Tony Parker,30,6,13,0,1,2,3,0,2,2,5,0,0,2,1,15
Rony Seikaly,30,5,10,0,0,4,5,2,4,7,1,0,1,2,3,14
O.J. Mayo,30,5,11,1,4,2,2,0,2,3,2,1,0,2,2,13
Antonio Davis,30,3,8,0,0,3,4,2,5,7,1,0,1,1,2,10
Ricky Rubio,30,3,9,0,2,3,3,0,3,4,7,1,0,2,2,11
