,playerName,MP,FG,FGA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Pos
327,Jonathan Isaac,25,3,8,0,3,1,1,1,4,5,1,1,1,1,2,9,F
328,Jay Williams,25,3,9,0,2,1,2,0,2,2,4,1,0,2,2,9,G
329,Nenê,25,4,7,0,0,2,3,1,4,5,1,1,0,1,3,11,F-C
330,Darius Miles,25,4,8,0,0,1,2,1,3,4,1,0,1,2,2,10,F
331,Danuel House Jr.,25,3,7,1,4,1,1,0,3,3,1,0,0,0,1,9,G
332,Dennis Scott,25,3,8,1,3,0,1,0,2,2,1,0,0,0,1,9,F
333,Dennis Smith Jr.,25,4,12,1,3,1,2,0,2,3,4,1,0,2,2,12,G
334,Derek Fisher,25,2,7,0,2,1,1,0,1,2,2,1,0,1,2,8,G
335,Clarence Weatherspoon,25,3,6,0,0,2,2,2,4,6,1,0,0,1,2,8,F
336,Derrick Favors,25,4,8,0,0,2,3,2,4,7,1,0,1,1,2,11,F-C
337,Jamaal Tinsley,25,3,8,0,2,1,1,0,2,2,6,1,0,2,2,8,G
338,Dale Ellis,25,4,9,1,4,1,1,0,1,2,1,0,0,1,1,11,G-F
339,Dale Davis,25,2,5,0,0,1,2,2,4,7,0,0,0,0,2,7,F-C
340,John Salmons,25,3,7,0,2,1,2,0,2,2,2,0,0,1,1,9,G
341,John Starks,25,4,10,1,3,1,2,0,1,2,2,1,0,1,2,11,G
342,Mike Miller,25,3,8,1,3,1,1,0,3,4,2,0,0,1,1,10,F-G
343,Raef LaFrentz,25,3,8,0,2,1,1,1,4,6,1,0,1,0,3,10,F-C
344,Tyrone Nesby,25,3,8,0,2,1,2,1,2,3,1,1,0,1,2,9,F
345,Joe Ingles,25,2,6,1,4,0,0,0,2,3,3,1,0,1,1,8,F-G
346,Juan Carlos Navarro,25,3,9,1,5,1,1,0,2,2,2,0,0,1,1,10,G
347,Gerald Henderson,25,4,9,0,1,2,2,0,2,3,1,0,0,1,1,11,G
348,Gerald Henderson,25,4,9,0,1,2,2,0,2,3,1,0,0,1,1,11,G
349,Ryan Robertson,25,2,6,0,2,1,1,0,0,0,0,0,0,0,0,5,G
350,LaPhonso Ellis,25,4,9,0,1,1,2,1,3,5,1,0,0,1,2,10,F
351,Luke Ridnour,25,3,8,0,2,1,1,0,1,2,4,0,0,1,2,9,G
352,Taurean Prince,25,4,9,1,4,1,1,0,3,4,1,0,0,1,2,11,F
353,Manu Ginóbili,25,4,9,1,3,3,3,0,2,3,3,1,0,2,2,13,G
354,Tim Thomas,25,4,9,1,3,1,2,0,3,4,1,0,0,1,2,11,F
355,Brent Barry,25,3,6,1,3,1,1,0,2,3,3,0,0,1,1,8,G
356,Spencer Dinwiddie,25,4,10,1,4,3,4,0,2,2,4,0,0,1,2,12,G
357,Theo Ratliff,25,2,5,0,0,1,2,1,3,5,0,0,2,1,2,7,C-F
358,Donyell Marshall,25,4,9,0,2,1,2,2,4,6,1,0,0,1,2,11,F
359,Ron Harper,25,2,6,0,1,1,1,1,2,3,2,1,0,1,2,7,G-F
360,Matt Harpring,25,4,8,0,0,2,3,1,3,4,1,0,0,1,2,11,F
361,Rik Smits,25,6,12,0,0,2,3,1,4,5,1,0,1,1,3,14,C
362,Matt Maloney,25,2,6,1,3,0,0,0,1,1,2,0,0,1,1,7,G
363,Anthony Peeler,25,3,8,1,3,0,1,0,2,2,2,0,0,1,1,9,G
364,Caris LeVert,25,4,11,1,3,2,2,0,2,3,3,1,0,1,1,13,G-F
365,José Calderón,25,3,7,1,2,1,1,0,2,2,5,0,0,1,1,8,G
366,Ryan Anderson,25,4,9,1,5,1,2,1,3,5,0,0,0,0,1,11,F
367,Bam Adebayo,25,4,7,0,0,2,3,2,5,7,2,0,0,1,2,10,C-F
368,Tim Hardaway Jr.,25,4,11,1,5,2,2,0,2,2,1,0,0,1,1,13,G
369,Samuel Dalembert,24,3,6,0,0,1,1,2,5,7,0,0,1,1,2,7,C
370,Chucky Atkins,24,3,8,1,3,1,1,0,1,1,3,0,0,1,1,9,G
371,Marcin Gortat,24,4,7,0,0,1,2,2,5,7,1,0,1,1,2,9,C-F
372,Eddy Curry,24,4,8,0,0,3,4,1,3,5,0,0,0,2,2,12,C
373,Jason Thompson,24,3,7,0,0,1,2,2,4,6,1,0,0,1,2,8,F-C
374,Charlie Bell,24,3,7,1,3,1,1,0,1,2,2,0,0,0,1,8,G
375,Udonis Haslem,24,2,6,0,0,1,1,1,4,6,0,0,0,0,2,7,F-C
376,Billy Owens,24,3,7,0,0,1,1,1,3,5,2,0,0,1,2,8,F-G
377,George McCloud,24,3,8,1,3,1,1,0,2,3,2,0,0,1,2,9,G-F
378,George Lynch,24,2,6,0,0,1,1,2,3,5,1,1,0,1,2,6,F
379,Dennis Schröder,24,5,12,1,3,2,2,0,2,2,4,0,0,2,1,14,G
