playerName,seasonStartYear,MP,FG,FGA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,inflationAdjSalary
Richard Jefferson,2004,40.2,7.0,16.6,0.9,2.7,6.7,8.1,1.5,5.5,7.1,3.8,1.0,0.5,3.8,3.3,21.5,3246.593
Kevin Garnett,2002,40.2,9.2,18.4,0.3,0.9,4.5,6.0,2.9,10.7,13.6,6.0,1.4,1.6,2.8,2.5,23.2,38058.583
LeBron James,2007,40.2,10.3,21.8,1.5,4.9,7.6,10.7,1.7,6.2,7.9,7.2,1.8,1.1,3.5,2.2,29.7,17006.102
Joe Johnson,2003,40.2,6.8,15.7,1.0,3.3,2.1,2.8,1.0,3.7,4.7,4.4,1.1,0.3,2.4,2.2,16.7,2736.423
Joe Johnson,2007,40.2,7.8,18.1,2.1,5.4,3.9,4.6,1.0,3.4,4.4,5.6,1.0,0.2,2.7,2.1,21.6,17589.166
Lamar Odom,2005,40.2,5.7,11.8,1.0,2.8,2.8,4.1,2.3,7.1,9.4,5.5,0.9,0.8,2.7,3.2,15.2,16015.861
Joe Johnson,2005,40.2,7.7,17.0,1.6,4.4,3.2,4.0,1.2,2.9,4.1,6.5,1.3,0.4,3.3,2.3,20.2,16762.735
Steve Francis,2003,40.2,5.7,14.1,1.0,3.2,4.4,5.7,1.5,4.2,5.7,6.3,1.7,0.4,3.8,3.3,16.7,16210.06
Michael Finley,2001,40.2,8.3,17.9,1.2,3.4,3.3,3.9,1.3,4.0,5.3,3.2,1.0,0.4,1.7,2.2,21.1,16217.808
Shawn Marion,2005,40.2,8.7,16.8,1.2,3.6,3.0,3.6,3.0,8.8,11.8,1.7,2.0,1.6,1.5,2.9,21.5,19137.456
Juwan Howard,1996,40.1,7.7,16.0,0.0,0.0,3.6,4.8,2.5,5.4,7.9,3.7,1.1,0.3,2.9,3.2,19.1,16905.143
Shawn Marion,2003,40.1,7.5,17.0,1.1,3.4,2.9,3.4,2.7,6.6,9.3,2.7,2.1,1.3,2.0,2.6,19.0,16210.06
Jamal Mashburn,2002,40.1,8.2,19.4,1.5,3.7,3.9,4.7,0.8,5.2,6.0,5.6,1.0,0.2,2.8,2.3,21.8,11704.524
Latrell Sprewell,1999,40.1,6.9,16.0,0.6,1.6,4.2,4.9,0.6,3.7,4.3,4.0,1.3,0.3,2.7,2.2,18.6,14712.779
Vince Carter,2000,40.0,10.2,22.3,2.1,5.3,5.1,6.6,2.4,3.2,5.7,4.0,1.5,1.2,2.2,2.9,27.6,3822.403
Stephon Marbury,2002,40.0,8.3,19.1,1.1,3.7,4.6,5.7,0.7,2.6,3.3,7.9,1.3,0.2,3.3,2.6,22.3,18689.483
Paul Pierce,2001,40.0,8.5,19.4,2.4,6.4,6.5,8.2,1.1,6.1,7.2,3.3,1.8,1.1,3.1,2.9,25.9,3131.023
Cuttino Mobley,2003,40.0,5.8,13.6,2.0,5.2,2.2,2.7,0.5,4.0,4.5,3.2,1.3,0.4,2.3,2.3,15.7,7978.019
Vin Baker,1996,40.0,8.1,16.0,0.2,0.7,4.6,6.7,3.4,6.9,10.3,2.7,1.0,1.4,3.1,3.5,21.0,6527.986
Monta Ellis,2010,39.9,9.1,20.1,1.7,4.7,4.2,5.4,0.6,3.0,3.5,5.6,2.1,0.3,3.2,2.5,24.1,13711.632
Anthony Mason,2000,39.9,5.6,11.7,0.0,0.0,4.5,5.8,2.0,7.3,9.4,3.0,1.0,0.3,2.2,2.9,15.7,8746.593
Scottie Pippen,1998,39.9,5.3,12.5,1.4,4.3,2.8,3.9,1.5,5.3,6.9,5.8,1.9,0.7,3.2,2.4,14.8,18335.312
David Wesley,1996,39.9,6.2,13.2,1.4,3.9,3.0,3.9,0.9,2.7,3.6,7.3,2.2,0.2,2.9,3.0,16.8,606.851
Shareef Abdur-Rahim,1998,39.9,7.7,17.9,0.2,0.7,7.4,8.8,2.3,5.2,7.5,3.4,1.4,1.1,3.7,2.7,23.0,4737.178
Stephon Marbury,2003,39.9,7.4,17.3,1.1,3.5,4.4,5.4,0.7,2.6,3.3,8.8,1.6,0.1,3.1,2.1,20.3,19966.771
